loyalty_number,total_flights_historical,total_distance_historical,total_points_accumulated,total_points_redeemed,tenure_months,clv,loyalty_card,salary,province,marital_status,education,gender,enrollment_year,churned,redemption_ratio
102184,28,40522.0,40522.0,0,18,4923.18,Star,76887.0,Alberta,Married,Bachelor,Male,2016,0,0.0
102207,23,34413.0,34413.0,0,18,6960.92,Nova,86413.0,Quebec,Divorced,Bachelor,Male,2012,0,0.0
102299,34,44886.0,44886.0,0,18,2089.34,Star,73544.0,Manitoba,Single,College,Female,2015,0,0.0
102311,44,70821.0,70821.0,1020,18,7507.46,Star,76485.0,Ontario,Single,Bachelor,Female,2016,0,0.014402507730757826
102376,24,24188.0,36282.0,0,5,12765.78,Aurora,73544.0,Ontario,Single,College,Male,2018,0,0.0
102464,11,11880.0,11880.0,761,18,2725.68,Star,60563.0,Quebec,Married,Bachelor,Male,2016,0,0.06405723905723906
102726,11,14696.0,14696.0,903,18,8044.87,Nova,84147.0,Saskatchewan,Married,Bachelor,Male,2017,0,0.061445291235710395
102730,8,13340.0,13340.0,0,18,2453.57,Star,80919.0,New Brunswick,Single,High School or Below,Male,2017,0,0.0
102788,21,36878.0,55317.0,0,5,11124.21,Nova,31170.0,Quebec,Single,Bachelor,Male,2018,0,0.0
102851,34,49405.0,49405.0,1247,18,19435.63,Star,60216.0,British Columbia,Single,Bachelor,Female,2014,0,0.025240360287420303
102877,37,63428.0,63428.0,908,18,2863.04,Nova,73544.0,Ontario,Married,College,Female,2014,0,0.014315444283281832
102982,12,22077.0,22077.0,0,18,5235.57,Aurora,84442.0,British Columbia,Married,Bachelor,Male,2016,0,0.0
103151,22,32962.0,32962.0,407,18,32613.69,Aurora,64962.0,British Columbia,Married,Bachelor,Female,2013,0,0.012347551726230204
103217,24,33375.0,33375.0,0,18,6439.33,Star,73544.0,Quebec,Single,College,Male,2013,0,0.0
103304,28,44834.0,44834.0,947,18,2683.47,Star,67227.0,Alberta,Married,Bachelor,Male,2013,0,0.021122362492751037
103340,34,49850.0,49850.0,0,18,7577.07,Star,73544.0,British Columbia,Single,College,Male,2017,0,0.0
103359,32,50212.0,50212.0,564,18,4502.87,Star,73544.0,British Columbia,Single,College,Female,2016,0,0.011232374731139966
103436,34,60626.0,60626.0,902,18,5015.01,Star,67445.0,Quebec,Single,Bachelor,Male,2013,0,0.014878105103420974
103490,30,51965.0,51965.0,0,18,17651.96,Nova,65543.0,British Columbia,Single,High School or Below,Male,2013,0,0.0
103502,12,19660.0,19660.0,344,18,2580.85,Star,66226.0,Ontario,Married,Bachelor,Male,2017,0,0.017497456765005085
103536,47,64230.0,64230.0,539,18,9202.64,Nova,73544.0,British Columbia,Married,College,Female,2012,0,0.008391717266075042
103699,11,18233.0,18233.0,0,18,5595.39,Nova,86388.0,Alberta,Single,Bachelor,Male,2018,0,0.0
103731,29,46656.0,46656.0,489,18,4015.34,Nova,90487.0,Manitoba,Married,Bachelor,Female,2016,0,0.010480967078189301
103823,33,45311.0,45311.0,1014,18,4812.53,Nova,52820.0,Ontario,Married,High School or Below,Female,2014,0,0.022378671845688685
103860,34,55889.0,55889.0,1075,18,3358.53,Nova,75348.0,Ontario,Married,Bachelor,Male,2014,0,0.01923455420565764
103862,25,48157.0,48157.0,547,18,4878.83,Star,299560.0,Ontario,Married,Doctor,Female,2013,0,0.011358680980958116
103916,27,35287.0,35287.0,892,18,3803.92,Star,60894.0,Alberta,Married,High School or Below,Female,2014,0,0.025278431150281975
103969,28,41735.0,41735.0,1131,18,31410.93,Aurora,52405.0,Ontario,Married,Bachelor,Male,2015,0,0.027099556726967775
103970,32,39253.0,39253.0,0,18,8257.67,Aurora,221857.0,British Columbia,Married,Doctor,Female,2015,0,0.0
104103,30,38656.0,38656.0,742,18,8262.88,Nova,73544.0,British Columbia,Married,College,Male,2016,0,0.019194950331125827
104267,27,42569.0,63853.5,0,5,2701.04,Star,28642.0,Ontario,Married,Bachelor,Male,2018,0,0.0
104353,33,57346.0,57346.0,526,18,15777.89,Star,104140.0,Saskatchewan,Married,Bachelor,Male,2014,0,0.00917239214592125
104431,28,47593.0,47593.0,1272,18,2822.59,Nova,243591.0,Manitoba,Married,Doctor,Female,2014,0,0.02672661946084508
104541,17,19981.0,19981.0,1472,18,8621.0,Nova,64827.0,Ontario,Married,Bachelor,Female,2013,0,0.0736699864871628
104586,31,49620.0,49620.0,473,18,7772.58,Aurora,86609.0,Ontario,Divorced,Bachelor,Male,2016,0,0.009532446594115276
104673,31,42735.0,42735.0,546,18,14723.41,Aurora,60006.0,Ontario,Married,Bachelor,Male,2012,0,0.012776412776412777
104732,26,34507.0,34507.0,403,18,8382.48,Nova,50930.0,British Columbia,Married,Bachelor,Female,2016,0,0.011678789810763033
104849,25,45193.0,45193.0,363,18,2816.76,Nova,63326.0,Ontario,Married,Bachelor,Female,2014,0,0.008032217378797602
104960,16,27398.0,27398.0,589,18,2551.23,Star,90265.0,Newfoundland,Married,Bachelor,Male,2012,0,0.021497919556171984
105063,19,29319.0,43978.5,0,5,7251.33,Star,236405.0,Quebec,Divorced,Doctor,Male,2018,0,0.0
105073,15,18495.0,27742.5,0,5,7562.82,Aurora,73544.0,Ontario,Single,College,Male,2018,0,0.0
105074,32,46097.0,46097.0,1176,18,2799.75,Nova,79727.0,Ontario,Married,Bachelor,Male,2014,0,0.02551142156756405
105214,31,46096.0,46096.0,1063,18,5897.99,Star,88863.0,British Columbia,Divorced,Bachelor,Male,2013,0,0.02306056924678931
105335,22,42005.0,42005.0,501,18,11611.95,Nova,53065.0,British Columbia,Single,Bachelor,Male,2014,0,0.011927151529579813
105552,23,44666.0,44666.0,819,18,8256.3,Nova,77935.0,Prince Edward Island,Married,Bachelor,Male,2015,0,0.01833609456857565
105688,33,52657.0,52657.0,1004,18,5507.06,Aurora,73544.0,British Columbia,Married,College,Female,2014,0,0.019066790740072545
105712,27,37292.0,37292.0,733,18,8311.14,Nova,73544.0,Ontario,Married,College,Female,2015,0,0.01965569022846723
105789,28,51922.0,51922.0,687,18,2943.05,Nova,73544.0,Saskatchewan,Single,College,Female,2012,0,0.013231385539848234
105835,16,15572.0,23358.0,0,5,4756.13,Star,41085.0,Ontario,Married,Bachelor,Male,2018,0,0.0
105841,26,44224.840000003576,66337.26000000536,0,5,17420.57,Star,55130.0,British Columbia,Married,Bachelor,Male,2018,0,0.0
105921,36,56830.0,56830.0,1753,18,5041.45,Star,77255.0,Quebec,Married,Bachelor,Female,2012,0,0.030846383952137957
105932,17,26243.0,26243.0,0,18,3671.82,Star,62977.0,Newfoundland,Married,Bachelor,Male,2016,0,0.0
105992,33,49191.0,49191.0,402,18,5905.97,Nova,75700.0,Ontario,Married,Bachelor,Female,2016,0,0.00817222662682198
106001,47,83170.0,83170.0,967,18,4914.04,Star,39000.0,Quebec,Single,High School or Below,Female,2013,0,0.011626788505470723
106037,46,57771.0,57771.0,0,18,11281.52,Nova,94980.0,British Columbia,Married,Bachelor,Male,2013,0,0.0
106038,27,38981.0,38981.0,1377,18,7380.09,Star,47889.0,British Columbia,Married,Bachelor,Female,2016,0,0.03532490187527257
106046,21,34361.840000003576,51542.76000000536,547,5,2658.22,Star,16628.0,Quebec,Single,Bachelor,Male,2018,0,0.010612547717660892
106218,27,32036.0,32036.0,1209,18,16473.17,Nova,111106.0,Ontario,Married,Master,Male,2014,0,0.03773879385691097
106397,16,25107.0,25107.0,0,18,7902.68,Aurora,73544.0,British Columbia,Married,College,Male,2012,0,0.0
106444,3,7227.0,7227.0,639,18,8447.8,Aurora,73544.0,British Columbia,Divorced,College,Male,2017,0,0.08841843088418432
106477,18,21210.0,21210.0,0,18,2487.26,Star,52935.0,British Columbia,Divorced,Bachelor,Male,2014,0,0.0
106592,41,66054.0,66054.0,522,18,11727.78,Nova,298661.0,Alberta,Married,Doctor,Male,2016,0,0.00790262512489781
106637,26,40285.0,40285.0,1770,18,7455.36,Star,86121.0,Quebec,Married,Bachelor,Male,2014,0,0.043936949236688595
106689,17,23711.0,23711.0,1221,18,2795.41,Nova,61554.0,Ontario,Married,Bachelor,Female,2017,0,0.05149508666863481
106754,18,18441.0,18441.0,1167,18,31864.86,Star,49158.0,Ontario,Married,Bachelor,Female,2012,0,0.06328290222872947
106757,23,40146.0,40146.0,0,18,21423.64,Aurora,73544.0,Alberta,Married,College,Male,2015,0,0.0
106776,28,42269.0,42269.0,403,18,19357.8,Star,50611.0,Nova Scotia,Married,Bachelor,Male,2012,0,0.009534173980931652
106838,29,50487.0,50487.0,0,18,7524.74,Aurora,58674.0,British Columbia,Married,Bachelor,Male,2016,0,0.0
106839,27,39442.0,39442.0,662,18,6511.47,Nova,63081.0,Ontario,Married,Bachelor,Male,2014,0,0.016784138735358247
106936,28,45588.0,45588.0,466,18,57520.5,Nova,67299.0,Ontario,Married,Bachelor,Female,2012,0,0.010221988242519962
106946,36,54295.0,54295.0,2025,18,7796.0,Star,55446.0,British Columbia,Married,Bachelor,Male,2016,0,0.03729625195690211
106978,39,64504.0,64504.0,386,18,3455.23,Nova,81959.0,Quebec,Divorced,Bachelor,Female,2012,0,0.005984125015502915
106979,33,61059.0,61059.0,1530,18,14083.97,Star,86727.0,Quebec,Single,Bachelor,Male,2012,0,0.025057731047020096
107037,24,28109.0,28109.0,669,18,17732.46,Aurora,62780.0,British Columbia,Married,Bachelor,Female,2017,0,0.02380020633960653
107067,27,36505.0,36505.0,1531,18,5137.35,Star,100598.0,Quebec,Married,Bachelor,Female,2016,0,0.04193946034789755
107119,30,49515.0,49515.0,312,18,17684.65,Nova,92398.0,Ontario,Single,Bachelor,Female,2013,0,0.0063011208724628905
107141,26,31584.0,31584.0,1444,18,7292.91,Star,73544.0,Manitoba,Married,College,Male,2013,0,0.0457193515704154
107203,37,53234.0,53234.0,0,18,3044.79,Star,94014.0,British Columbia,Divorced,Master,Female,2016,0,0.0
107212,27,40068.0,40068.0,1140,18,6842.58,Star,240146.0,British Columbia,Married,Doctor,Female,2013,0,0.02845163222521713
107296,12,17482.0,17482.0,625,18,21892.94,Aurora,74457.0,Quebec,Married,Bachelor,Male,2017,0,0.03575105823132365
107385,14,18440.0,18440.0,0,18,7155.47,Star,87890.0,British Columbia,Divorced,Bachelor,Female,2017,0,0.0
107420,12,16818.0,16818.0,680,18,15771.39,Aurora,64290.0,Ontario,Married,High School or Below,Male,2017,0,0.040432869544535614
107461,10,15792.0,15792.0,551,18,2519.92,Star,73544.0,British Columbia,Married,College,Male,2015,0,0.034891084093211754
107466,19,27244.0,27244.0,491,18,4285.58,Nova,66901.0,New Brunswick,Married,Bachelor,Female,2017,0,0.018022316840405228
107487,7,14329.0,14329.0,0,18,7805.31,Nova,105487.0,Quebec,Divorced,Master,Male,2017,0,0.0
107519,21,31907.0,47860.5,501,5,5470.06,Aurora,71792.0,Quebec,Married,Bachelor,Female,2018,0,0.01046792239947347
107571,22,27803.0,27803.0,1175,18,7486.09,Aurora,73544.0,British Columbia,Single,College,Male,2017,0,0.042261626443189586
107649,38,66451.0,66451.0,1296,18,5879.18,Aurora,94733.0,Alberta,Married,Bachelor,Male,2012,0,0.01950309250425125
107719,22,26171.0,26171.0,436,18,2345.08,Star,73544.0,British Columbia,Single,College,Male,2012,0,0.016659661457338274
107730,22,38601.0,38601.0,1132,18,26511.6,Aurora,52961.0,Newfoundland,Single,Bachelor,Female,2017,0,0.029325665138208855
107902,22,31900.0,31900.0,528,18,4369.5,Nova,103122.0,British Columbia,Single,Bachelor,Female,2015,0,0.016551724137931035
107993,22,30641.0,30641.0,0,18,23740.12,Aurora,52414.0,Ontario,Married,Bachelor,Female,2016,0,0.0
108264,54,85403.0,85403.0,1447,18,2515.41,Star,60970.0,Saskatchewan,Married,Bachelor,Female,2013,0,0.016943198716672717
108346,8,14174.0,14174.0,0,18,4854.75,Nova,53738.0,Alberta,Single,Bachelor,Female,2017,0,0.0
108367,14,19611.0,19611.0,0,18,3528.04,Star,54794.0,Ontario,Married,Bachelor,Female,2017,1,0.0
108381,27,29880.0,29880.0,1014,18,3289.13,Nova,47966.0,Manitoba,Married,Bachelor,Female,2014,0,0.03393574297188755
108430,28,51647.0,51647.0,342,18,30081.37,Aurora,49927.0,Saskatchewan,Married,Bachelor,Male,2013,0,0.006621875423548318
108440,25,35990.0,35990.0,481,18,7842.87,Star,100884.0,Ontario,Married,Bachelor,Male,2013,0,0.013364823562100583
108462,24,41126.0,41126.0,1456,18,8186.1,Star,64014.0,Quebec,Married,Bachelor,Female,2016,0,0.035403394446335654
108528,36,54982.0,54982.0,595,18,7858.11,Star,53081.0,Ontario,Divorced,Bachelor,Female,2014,0,0.010821723473136664
108625,32,50334.0,50334.0,932,18,15470.6,Nova,81729.0,British Columbia,Married,Bachelor,Male,2016,0,0.018516311042237853
108666,17,21617.0,21617.0,1092,18,12036.62,Aurora,64417.0,British Columbia,Single,Bachelor,Female,2015,0,0.05051579775176944
108857,10,7254.0,7254.0,986,18,5719.09,Nova,88691.0,British Columbia,Married,Bachelor,Female,2017,1,0.13592500689274883
108896,9,11764.0,11764.0,0,18,32196.6,Nova,98771.0,Ontario,Married,Bachelor,Male,2017,1,0.0
108907,27,38884.0,38884.0,1162,18,2337.36,Star,73544.0,British Columbia,Single,College,Male,2016,0,0.029883756815142475
109022,23,29567.0,29567.0,453,18,2991.42,Nova,57960.0,Ontario,Married,Bachelor,Female,2013,0,0.015321135049210267
109023,23,44940.0,44940.0,1648,18,6005.85,Aurora,81333.0,Nova Scotia,Single,Master,Female,2015,0,0.03667111704494882
109203,33,49039.0,49039.0,0,18,8092.88,Star,69098.0,Manitoba,Married,Bachelor,Male,2014,0,0.0
109478,33,64670.0,64670.0,574,18,20998.26,Star,84346.0,Ontario,Married,Bachelor,Male,2014,0,0.008875831142724602
109495,31,52887.0,52887.0,454,18,11218.44,Nova,82594.0,Quebec,Married,Bachelor,Female,2014,0,0.008584340197023843
109517,27,39067.0,39067.0,641,18,21295.51,Nova,73544.0,Ontario,Divorced,College,Female,2015,0,0.016407709831827374
109552,11,14140.0,14140.0,0,18,14166.2,Nova,81364.0,Ontario,Divorced,Bachelor,Male,2015,0,0.0
109612,16,28624.0,28624.0,0,18,6827.18,Aurora,73544.0,Prince Edward Island,Divorced,College,Female,2017,0,0.0
109660,31,50012.0,50012.0,1284,18,3543.23,Nova,58026.0,Alberta,Married,Bachelor,Male,2016,0,0.025673838278813085
109767,31,48990.0,48990.0,1752,18,3886.65,Star,89062.0,Ontario,Single,Bachelor,Female,2016,0,0.035762400489895894
109840,20,30579.0,30579.0,529,18,4916.37,Star,80921.0,Quebec,Married,Bachelor,Male,2016,0,0.017299453873573366
109896,27,41632.0,41632.0,780,18,3884.86,Star,73544.0,Manitoba,Single,College,Female,2013,0,0.018735588009223675
109903,26,30144.0,30144.0,1115,18,5107.16,Star,57975.0,Saskatchewan,Married,Bachelor,Female,2013,0,0.03698911889596603
109956,16,27586.0,27586.0,0,18,5137.85,Star,89320.0,Ontario,Married,Bachelor,Female,2017,1,0.0
110065,37,35474.0,53211.0,0,5,13432.0,Aurora,82365.0,British Columbia,Single,Bachelor,Male,2018,0,0.0
110099,31,53281.0,53281.0,1028,18,4731.84,Star,73544.0,Yukon,Single,College,Female,2013,0,0.01929393217094274
110142,33,45288.840000003576,67933.26000000536,334,5,4866.65,Star,73544.0,British Columbia,Single,College,Male,2018,0,0.004916590194552324
110211,26,38248.0,38248.0,0,18,12036.62,Nova,64417.0,Ontario,Single,Bachelor,Female,2017,1,0.0
110262,22,38622.0,57933.0,808,5,9427.68,Aurora,52267.0,Alberta,Married,Bachelor,Male,2018,0,0.013947145840885161
110296,24,40752.0,40752.0,0,18,2396.22,Star,73544.0,Quebec,Married,College,Male,2013,0,0.0
110394,28,43897.0,43897.0,0,18,2565.12,Star,81901.0,Manitoba,Single,Bachelor,Male,2013,0,0.0
110422,2,2124.0,2124.0,0,18,2414.77,Star,73544.0,Nova Scotia,Single,College,Male,2018,0,0.0
110476,36,52447.0,52447.0,1851,18,6098.46,Star,86244.0,Ontario,Married,Bachelor,Male,2014,0,0.035292771750529105
110678,29,40277.0,40277.0,0,18,3933.81,Star,50879.0,Ontario,Single,Bachelor,Female,2016,0,0.0
110691,20,35836.0,35836.0,503,18,4722.24,Star,73544.0,British Columbia,Single,College,Male,2015,0,0.014036164750530194
110752,23,34430.0,34430.0,409,18,5154.05,Star,72625.0,Quebec,Divorced,Bachelor,Male,2012,0,0.01187917513796108
111022,16,23222.0,23222.0,1095,18,14635.45,Nova,73544.0,Manitoba,Divorced,College,Female,2013,0,0.04715356127809835
111034,34,59662.0,59662.0,905,18,11790.5,Nova,118863.0,Ontario,Divorced,Master,Female,2014,0,0.015168784150715698
111171,35,42286.0,42286.0,837,18,4628.28,Star,73544.0,British Columbia,Single,College,Female,2015,0,0.019793785177127182
111176,33,53706.0,53706.0,1237,18,4568.82,Nova,73544.0,British Columbia,Single,College,Female,2014,0,0.023032808252336796
111255,38,46586.0,46586.0,0,18,4122.96,Star,70272.0,Quebec,Married,High School or Below,Male,2013,0,0.0
111286,24,39620.0,39620.0,0,18,10382.38,Nova,55923.0,British Columbia,Married,Bachelor,Female,2013,0,0.0
111329,23,34636.0,34636.0,1460,18,3585.94,Nova,50748.0,Quebec,Married,Bachelor,Female,2016,0,0.042152673518882085
111485,30,48028.0,48028.0,1818,18,2989.96,Star,90349.0,Ontario,Divorced,Bachelor,Female,2015,0,0.0378529191305072
111507,21,27741.0,27741.0,1689,18,17556.99,Star,58405.0,Quebec,Married,Bachelor,Female,2012,0,0.060884611225262245
111573,27,45046.0,45046.0,0,18,14349.86,Aurora,85487.0,Ontario,Married,Bachelor,Male,2014,0,0.0
111584,21,27680.0,27680.0,619,18,4163.79,Nova,68273.0,Ontario,Divorced,Doctor,Female,2017,0,0.02236271676300578
111646,24,45971.0,45971.0,1100,18,5015.01,Aurora,67445.0,Ontario,Single,Bachelor,Female,2014,1,0.02392812860281482
111788,56,86332.0,86332.0,862,18,4935.19,Nova,53537.0,British Columbia,Married,Bachelor,Female,2016,0,0.009984710188574341
111899,16,24779.0,24779.0,998,18,13021.09,Nova,73544.0,Manitoba,Single,College,Female,2013,1,0.04027604019532669
111912,29,55871.0,55871.0,628,18,5592.46,Aurora,77443.0,Ontario,Divorced,Bachelor,Male,2016,0,0.011240178267795458
112026,40,68485.0,68485.0,989,18,9670.18,Aurora,185468.0,British Columbia,Divorced,Doctor,Male,2014,0,0.01444111849310068
112142,29,43150.0,43150.0,433,18,16272.74,Aurora,93073.0,Ontario,Single,Bachelor,Male,2015,1,0.01003476245654693
112226,23,40013.0,40013.0,484,18,4686.47,Nova,74413.0,British Columbia,Married,Bachelor,Male,2014,0,0.012096068777647264
112393,31,57406.0,57406.0,2163,18,6763.18,Star,73544.0,Ontario,Single,College,Female,2014,0,0.037678988259066994
112522,13,19992.0,29988.0,0,5,5636.74,Aurora,49846.0,Alberta,Married,Bachelor,Male,2018,0,0.0
112678,23,39055.0,39055.0,1621,18,35537.85,Star,73544.0,Ontario,Married,College,Male,2014,0,0.0415055690692613
112709,26,44365.0,44365.0,0,18,4834.4,Nova,68387.0,New Brunswick,Married,Doctor,Female,2016,0,0.0
112732,26,46626.0,46626.0,1154,18,8360.15,Nova,67412.0,New Brunswick,Married,Bachelor,Female,2016,0,0.0247501394071977
112733,35,38378.0,38378.0,0,18,3353.38,Nova,78298.0,British Columbia,Married,Bachelor,Female,2013,0,0.0
112842,17,31592.0,31592.0,673,18,6217.26,Nova,73544.0,Ontario,Married,College,Male,2016,0,0.02130286148391998
112856,33,56895.0,56895.0,1737,18,26199.53,Nova,46795.0,British Columbia,Married,Bachelor,Male,2014,0,0.030529923543369364
112863,27,37560.0,37560.0,1646,18,16107.19,Aurora,78218.0,British Columbia,Married,Bachelor,Female,2016,0,0.04382321618743344
113040,26,48776.0,48776.0,0,18,8427.17,Nova,65935.0,British Columbia,Divorced,Bachelor,Female,2013,0,0.0
113220,25,39380.0,39380.0,515,18,7986.19,Star,86215.0,British Columbia,Married,Bachelor,Male,2012,0,0.013077704418486541
113293,1,2351.0,2351.0,0,18,18370.57,Star,68245.0,Quebec,Divorced,Bachelor,Female,2017,0,0.0
113316,11,20558.0,20558.0,562,18,5282.54,Aurora,60156.0,British Columbia,Single,Bachelor,Male,2017,0,0.027337289619612803
113363,7,11975.0,11975.0,0,18,2760.95,Nova,57311.0,New Brunswick,Married,Bachelor,Female,2017,0,0.0
113476,36,57561.0,57561.0,574,18,9420.97,Aurora,66334.0,Newfoundland,Married,Bachelor,Female,2013,0,0.009972029672868782
113558,24,32137.0,32137.0,319,18,6444.08,Aurora,66116.0,Quebec,Married,Bachelor,Female,2015,0,0.009926253228366058
113679,43,52708.0,52708.0,341,18,10634.84,Aurora,73544.0,Ontario,Single,College,Male,2014,0,0.006469606131896486
113694,32,56101.0,56101.0,1740,18,4890.11,Nova,73544.0,Saskatchewan,Divorced,College,Female,2014,0,0.031015489919965777
113755,14,14268.0,14268.0,460,18,3633.05,Star,63616.0,British Columbia,Married,Bachelor,Female,2013,0,0.032239977572189514
113779,28,36296.0,36296.0,521,18,25640.24,Aurora,233002.0,Quebec,Married,Doctor,Male,2014,0,0.014354198809786202
113804,16,24371.0,24371.0,1304,18,3173.03,Star,73544.0,Quebec,Married,College,Female,2016,0,0.053506216404743345
113831,45,51606.0,51606.0,470,18,3605.86,Nova,47701.0,Ontario,Married,Bachelor,Male,2016,0,0.009107468123861567
113839,23,35514.0,35514.0,0,18,3839.61,Star,73544.0,Ontario,Divorced,College,Male,2015,0,0.0
113861,9,9625.0,9625.0,0,18,2409.37,Star,73544.0,Quebec,Married,College,Female,2017,0,0.0
113864,10,8122.0,8122.0,521,18,8652.65,Star,79913.0,Saskatchewan,Married,Bachelor,Male,2017,0,0.06414676188131002
113874,11,9893.0,14839.5,0,5,2894.24,Nova,73544.0,Ontario,Single,College,Female,2018,0,0.0
113877,32,50428.0,50428.0,0,18,9575.76,Star,73544.0,Ontario,Single,College,Female,2013,0,0.0
113904,28,29603.0,29603.0,958,18,26453.94,Nova,63343.0,Ontario,Married,Bachelor,Female,2015,0,0.03236158497449583
113919,25,42531.0,42531.0,596,18,5614.59,Aurora,61482.0,Manitoba,Married,Bachelor,Female,2015,0,0.014013307940090758
114018,24,31775.0,31775.0,0,18,9120.07,Nova,78649.0,Ontario,Married,Bachelor,Male,2013,0,0.0
