loyalty_number,total_flights_historical,total_distance_historical,total_points_accumulated,total_points_redeemed,tenure_months,clv,loyalty_card,salary,province,marital_status,education,gender,enrollment_year,churned
100853,25,33294.0,33294.0,579,18,10153.89,Star,73544.0,Ontario,Married,College,Male,2016,0
100883,20,37249.0,37249.0,0,18,3561.04,Star,73544.0,Manitoba,Single,College,Female,2013,0
100890,15,23839.0,23839.0,341,18,8007.4,Nova,73544.0,Ontario,Divorced,College,Female,2014,0
101018,32,56084.0,56084.0,681,18,4392.98,Nova,56523.0,Ontario,Married,Bachelor,Female,2014,0
101148,25,37480.0,37480.0,714,18,4770.55,Nova,45229.0,British Columbia,Single,High School or Below,Female,2012,0
101363,23,40553.0,40553.0,1378,18,12898.59,Star,59310.0,New Brunswick,Married,Bachelor,Female,2016,0
101487,36,44807.0,44807.0,2912,18,14024.36,Aurora,91817.0,Quebec,Married,Bachelor,Male,2012,0
101515,20,34116.0,34116.0,2043,18,7737.27,Nova,68711.0,New Brunswick,Married,Bachelor,Male,2014,0
101540,19,36404.0,36404.0,931,18,2688.88,Star,69020.0,Ontario,Single,Bachelor,Female,2017,0
101544,30,48614.0,48614.0,0,18,24249.34,Nova,56531.0,Quebec,Married,Bachelor,Female,2014,0
101547,6,10342.0,10342.0,0,18,5619.69,Star,73544.0,Ontario,Married,College,Female,2017,0
101581,23,31191.0,31191.0,1104,18,4595.46,Star,87781.0,Ontario,Married,Bachelor,Male,2012,0
101594,30,37256.0,37256.0,752,18,5205.75,Star,239867.0,Ontario,Divorced,Doctor,Male,2015,0
101663,29,47070.0,47070.0,961,18,5129.74,Aurora,94946.0,Ontario,Married,Bachelor,Male,2016,0
101664,22,27697.0,27697.0,0,18,9002.41,Aurora,87654.0,Nova Scotia,Married,Bachelor,Male,2013,0
101709,36,55430.0,55430.0,456,18,8396.61,Aurora,66733.0,New Brunswick,Single,Bachelor,Female,2015,0
101876,12,18264.0,18264.0,1187,18,4949.53,Aurora,73544.0,Quebec,Single,College,Male,2017,1
101895,20,37544.0,37544.0,0,18,24543.2,Nova,81883.0,Ontario,Single,Bachelor,Female,2013,0
101902,31,43211.0,43211.0,366,18,6265.34,Aurora,73544.0,Ontario,Married,College,Female,2017,0
101945,28,52750.0,52750.0,678,18,4202.66,Star,86098.0,Nova Scotia,Married,Bachelor,Male,2013,0
102168,10,17314.0,17314.0,0,18,7166.34,Nova,75265.0,Ontario,Divorced,Bachelor,Female,2018,0
102184,28,40522.0,40522.0,0,18,4923.18,Star,76887.0,Alberta,Married,Bachelor,Male,2016,0
102207,23,34413.0,34413.0,0,18,6960.92,Nova,86413.0,Quebec,Divorced,Bachelor,Male,2012,0
102299,34,44886.0,44886.0,0,18,2089.34,Star,73544.0,Manitoba,Single,College,Female,2015,0
102311,44,70821.0,70821.0,1020,18,7507.46,Star,76485.0,Ontario,Single,Bachelor,Female,2016,0
102376,24,24188.0,36282.0,0,5,12765.78,Aurora,73544.0,Ontario,Single,College,Male,2018,0
102464,11,11880.0,11880.0,761,18,2725.68,Star,60563.0,Quebec,Married,Bachelor,Male,2016,0
102726,11,14696.0,14696.0,903,18,8044.87,Nova,84147.0,Saskatchewan,Married,Bachelor,Male,2017,0
102730,8,13340.0,13340.0,0,18,2453.57,Star,80919.0,New Brunswick,Single,High School or Below,Male,2017,0
102788,21,36878.0,55317.0,0,5,11124.21,Nova,31170.0,Quebec,Single,Bachelor,Male,2018,0
102851,34,49405.0,49405.0,1247,18,19435.63,Star,60216.0,British Columbia,Single,Bachelor,Female,2014,0
102877,37,63428.0,63428.0,908,18,2863.04,Nova,73544.0,Ontario,Married,College,Female,2014,0
102982,12,22077.0,22077.0,0,18,5235.57,Aurora,84442.0,British Columbia,Married,Bachelor,Male,2016,0
103151,22,32962.0,32962.0,407,18,32613.69,Aurora,64962.0,British Columbia,Married,Bachelor,Female,2013,0
103217,24,33375.0,33375.0,0,18,6439.33,Star,73544.0,Quebec,Single,College,Male,2013,0
103304,28,44834.0,44834.0,947,18,2683.47,Star,67227.0,Alberta,Married,Bachelor,Male,2013,0
103340,34,49850.0,49850.0,0,18,7577.07,Star,73544.0,British Columbia,Single,College,Male,2017,0
103359,32,50212.0,50212.0,564,18,4502.87,Star,73544.0,British Columbia,Single,College,Female,2016,0
103436,34,60626.0,60626.0,902,18,5015.01,Star,67445.0,Quebec,Single,Bachelor,Male,2013,0
103490,30,51965.0,51965.0,0,18,17651.96,Nova,65543.0,British Columbia,Single,High School or Below,Male,2013,0
103502,12,19660.0,19660.0,344,18,2580.85,Star,66226.0,Ontario,Married,Bachelor,Male,2017,0
103536,47,64230.0,64230.0,539,18,9202.64,Nova,73544.0,British Columbia,Married,College,Female,2012,0
103699,11,18233.0,18233.0,0,18,5595.39,Nova,86388.0,Alberta,Single,Bachelor,Male,2018,0
103731,29,46656.0,46656.0,489,18,4015.34,Nova,90487.0,Manitoba,Married,Bachelor,Female,2016,0
103823,33,45311.0,45311.0,1014,18,4812.53,Nova,52820.0,Ontario,Married,High School or Below,Female,2014,0
103860,34,55889.0,55889.0,1075,18,3358.53,Nova,75348.0,Ontario,Married,Bachelor,Male,2014,0
103862,25,48157.0,48157.0,547,18,4878.83,Star,299560.0,Ontario,Married,Doctor,Female,2013,0
103916,27,35287.0,35287.0,892,18,3803.92,Star,60894.0,Alberta,Married,High School or Below,Female,2014,0
103969,28,41735.0,41735.0,1131,18,31410.93,Aurora,52405.0,Ontario,Married,Bachelor,Male,2015,0
103970,32,39253.0,39253.0,0,18,8257.67,Aurora,221857.0,British Columbia,Married,Doctor,Female,2015,0
104103,30,38656.0,38656.0,742,18,8262.88,Nova,73544.0,British Columbia,Married,College,Male,2016,0
104267,27,42569.0,63853.5,0,5,2701.04,Star,28642.0,Ontario,Married,Bachelor,Male,2018,0
104353,33,57346.0,57346.0,526,18,15777.89,Star,104140.0,Saskatchewan,Married,Bachelor,Male,2014,0
104431,28,47593.0,47593.0,1272,18,2822.59,Nova,243591.0,Manitoba,Married,Doctor,Female,2014,0
104541,17,19981.0,19981.0,1472,18,8621.0,Nova,64827.0,Ontario,Married,Bachelor,Female,2013,0
104586,31,49620.0,49620.0,473,18,7772.58,Aurora,86609.0,Ontario,Divorced,Bachelor,Male,2016,0
104673,31,42735.0,42735.0,546,18,14723.41,Aurora,60006.0,Ontario,Married,Bachelor,Male,2012,0
104732,26,34507.0,34507.0,403,18,8382.48,Nova,50930.0,British Columbia,Married,Bachelor,Female,2016,0
104849,25,45193.0,45193.0,363,18,2816.76,Nova,63326.0,Ontario,Married,Bachelor,Female,2014,0
104960,16,27398.0,27398.0,589,18,2551.23,Star,90265.0,Newfoundland,Married,Bachelor,Male,2012,0
105063,19,29319.0,43978.5,0,5,7251.33,Star,236405.0,Quebec,Divorced,Doctor,Male,2018,0
105073,15,18495.0,27742.5,0,5,7562.82,Aurora,73544.0,Ontario,Single,College,Male,2018,0
105074,32,46097.0,46097.0,1176,18,2799.75,Nova,79727.0,Ontario,Married,Bachelor,Male,2014,0
105214,31,46096.0,46096.0,1063,18,5897.99,Star,88863.0,British Columbia,Divorced,Bachelor,Male,2013,0
105335,22,42005.0,42005.0,501,18,11611.95,Nova,53065.0,British Columbia,Single,Bachelor,Male,2014,0
105552,23,44666.0,44666.0,819,18,8256.3,Nova,77935.0,Prince Edward Island,Married,Bachelor,Male,2015,0
105688,33,52657.0,52657.0,1004,18,5507.06,Aurora,73544.0,British Columbia,Married,College,Female,2014,0
105712,27,37292.0,37292.0,733,18,8311.14,Nova,73544.0,Ontario,Married,College,Female,2015,0
105789,28,51922.0,51922.0,687,18,2943.05,Nova,73544.0,Saskatchewan,Single,College,Female,2012,0
105835,16,15572.0,23358.0,0,5,4756.13,Star,41085.0,Ontario,Married,Bachelor,Male,2018,0
105841,26,44224.840000003576,66337.26000000536,0,5,17420.57,Star,55130.0,British Columbia,Married,Bachelor,Male,2018,0
105921,36,56830.0,56830.0,1753,18,5041.45,Star,77255.0,Quebec,Married,Bachelor,Female,2012,0
105932,17,26243.0,26243.0,0,18,3671.82,Star,62977.0,Newfoundland,Married,Bachelor,Male,2016,0
105992,33,49191.0,49191.0,402,18,5905.97,Nova,75700.0,Ontario,Married,Bachelor,Female,2016,0
106001,47,83170.0,83170.0,967,18,4914.04,Star,39000.0,Quebec,Single,High School or Below,Female,2013,0
106037,46,57771.0,57771.0,0,18,11281.52,Nova,94980.0,British Columbia,Married,Bachelor,Male,2013,0
106038,27,38981.0,38981.0,1377,18,7380.09,Star,47889.0,British Columbia,Married,Bachelor,Female,2016,0
106046,21,34361.840000003576,51542.760000005364,547,5,2658.22,Star,16628.0,Quebec,Single,Bachelor,Male,2018,0
106218,27,32036.0,32036.0,1209,18,16473.17,Nova,111106.0,Ontario,Married,Master,Male,2014,0
106397,16,25107.0,25107.0,0,18,7902.68,Aurora,73544.0,British Columbia,Married,College,Male,2012,0
106444,3,7227.0,7227.0,639,18,8447.8,Aurora,73544.0,British Columbia,Divorced,College,Male,2017,0
106477,18,21210.0,21210.0,0,18,2487.26,Star,52935.0,British Columbia,Divorced,Bachelor,Male,2014,0
106592,41,66054.0,66054.0,522,18,11727.78,Nova,298661.0,Alberta,Married,Doctor,Male,2016,0
106637,26,40285.0,40285.0,1770,18,7455.36,Star,86121.0,Quebec,Married,Bachelor,Male,2014,0
106689,17,23711.0,23711.0,1221,18,2795.41,Nova,61554.0,Ontario,Married,Bachelor,Female,2017,0
106754,18,18441.0,18441.0,1167,18,31864.86,Star,49158.0,Ontario,Married,Bachelor,Female,2012,0
106757,23,40146.0,40146.0,0,18,21423.64,Aurora,73544.0,Alberta,Married,College,Male,2015,0
106776,28,42269.0,42269.0,403,18,19357.8,Star,50611.0,Nova Scotia,Married,Bachelor,Male,2012,0
106838,29,50487.0,50487.0,0,18,7524.74,Aurora,58674.0,British Columbia,Married,Bachelor,Male,2016,0
106839,27,39442.0,39442.0,662,18,6511.47,Nova,63081.0,Ontario,Married,Bachelor,Male,2014,0
106936,28,45588.0,45588.0,466,18,57520.5,Nova,67299.0,Ontario,Married,Bachelor,Female,2012,0
106946,36,54295.0,54295.0,2025,18,7796.0,Star,55446.0,British Columbia,Married,Bachelor,Male,2016,0
106978,39,64504.0,64504.0,386,18,3455.23,Nova,81959.0,Quebec,Divorced,Bachelor,Female,2012,0
106979,33,61059.0,61059.0,1530,18,14083.97,Star,86727.0,Quebec,Single,Bachelor,Male,2012,0
107037,24,28109.0,28109.0,669,18,17732.46,Aurora,62780.0,British Columbia,Married,Bachelor,Female,2017,0
107067,27,36505.0,36505.0,1531,18,5137.35,Star,100598.0,Quebec,Married,Bachelor,Female,2016,0
107119,30,49515.0,49515.0,312,18,17684.65,Nova,92398.0,Ontario,Single,Bachelor,Female,2013,0
107141,26,31584.0,31584.0,1444,18,7292.91,Star,73544.0,Manitoba,Married,College,Male,2013,0
107203,37,53234.0,53234.0,0,18,3044.79,Star,94014.0,British Columbia,Divorced,Master,Female,2016,0
107212,27,40068.0,40068.0,1140,18,6842.58,Star,240146.0,British Columbia,Married,Doctor,Female,2013,0
107296,12,17482.0,17482.0,625,18,21892.94,Aurora,74457.0,Quebec,Married,Bachelor,Male,2017,0
107385,14,18440.0,18440.0,0,18,7155.47,Star,87890.0,British Columbia,Divorced,Bachelor,Female,2017,0
107420,12,16818.0,16818.0,680,18,15771.39,Aurora,64290.0,Ontario,Married,High School or Below,Male,2017,0
107461,10,15792.0,15792.0,551,18,2519.92,Star,73544.0,British Columbia,Married,College,Male,2015,0
107466,19,27244.0,27244.0,491,18,4285.58,Nova,66901.0,New Brunswick,Married,Bachelor,Female,2017,0
107487,7,14329.0,14329.0,0,18,7805.31,Nova,105487.0,Quebec,Divorced,Master,Male,2017,0
107519,21,31907.0,47860.5,501,5,5470.06,Aurora,71792.0,Quebec,Married,Bachelor,Female,2018,0
107571,22,27803.0,27803.0,1175,18,7486.09,Aurora,73544.0,British Columbia,Single,College,Male,2017,0
107649,38,66451.0,66451.0,1296,18,5879.18,Aurora,94733.0,Alberta,Married,Bachelor,Male,2012,0
107719,22,26171.0,26171.0,436,18,2345.08,Star,73544.0,British Columbia,Single,College,Male,2012,0
107730,22,38601.0,38601.0,1132,18,26511.6,Aurora,52961.0,Newfoundland,Single,Bachelor,Female,2017,0
107902,22,31900.0,31900.0,528,18,4369.5,Nova,103122.0,British Columbia,Single,Bachelor,Female,2015,0
107993,22,30641.0,30641.0,0,18,23740.12,Aurora,52414.0,Ontario,Married,Bachelor,Female,2016,0
108264,54,85403.0,85403.0,1447,18,2515.41,Star,60970.0,Saskatchewan,Married,Bachelor,Female,2013,0
108346,8,14174.0,14174.0,0,18,4854.75,Nova,53738.0,Alberta,Single,Bachelor,Female,2017,0
108367,14,19611.0,19611.0,0,18,3528.04,Star,54794.0,Ontario,Married,Bachelor,Female,2017,1
108381,27,29880.0,29880.0,1014,18,3289.13,Nova,47966.0,Manitoba,Married,Bachelor,Female,2014,0
108430,28,51647.0,51647.0,342,18,30081.37,Aurora,49927.0,Saskatchewan,Married,Bachelor,Male,2013,0
108440,25,35990.0,35990.0,481,18,7842.87,Star,100884.0,Ontario,Married,Bachelor,Male,2013,0
108462,24,41126.0,41126.0,1456,18,8186.1,Star,64014.0,Quebec,Married,Bachelor,Female,2016,0
108528,36,54982.0,54982.0,595,18,7858.11,Star,53081.0,Ontario,Divorced,Bachelor,Female,2014,0
108625,32,50334.0,50334.0,932,18,15470.6,Nova,81729.0,British Columbia,Married,Bachelor,Male,2016,0
108666,17,21617.0,21617.0,1092,18,12036.62,Aurora,64417.0,British Columbia,Single,Bachelor,Female,2015,0
108857,10,7254.0,7254.0,986,18,5719.09,Nova,88691.0,British Columbia,Married,Bachelor,Female,2017,1
108896,9,11764.0,11764.0,0,18,32196.6,Nova,98771.0,Ontario,Married,Bachelor,Male,2017,1
108907,27,38884.0,38884.0,1162,18,2337.36,Star,73544.0,British Columbia,Single,College,Male,2016,0
109022,23,29567.0,29567.0,453,18,2991.42,Nova,57960.0,Ontario,Married,Bachelor,Female,2013,0
109023,23,44940.0,44940.0,1648,18,6005.85,Aurora,81333.0,Nova Scotia,Single,Master,Female,2015,0
109203,33,49039.0,49039.0,0,18,8092.88,Star,69098.0,Manitoba,Married,Bachelor,Male,2014,0
109478,33,64670.0,64670.0,574,18,20998.26,Star,84346.0,Ontario,Married,Bachelor,Male,2014,0
109495,31,52887.0,52887.0,454,18,11218.44,Nova,82594.0,Quebec,Married,Bachelor,Female,2014,0
109517,27,39067.0,39067.0,641,18,21295.51,Nova,73544.0,Ontario,Divorced,College,Female,2015,0
109552,11,14140.0,14140.0,0,18,14166.2,Nova,81364.0,Ontario,Divorced,Bachelor,Male,2015,0
109612,16,28624.0,28624.0,0,18,6827.18,Aurora,73544.0,Prince Edward Island,Divorced,College,Female,2017,0
109660,31,50012.0,50012.0,1284,18,3543.23,Nova,58026.0,Alberta,Married,Bachelor,Male,2016,0
109767,31,48990.0,48990.0,1752,18,3886.65,Star,89062.0,Ontario,Single,Bachelor,Female,2016,0
109840,20,30579.0,30579.0,529,18,4916.37,Star,80921.0,Quebec,Married,Bachelor,Male,2016,0
109896,27,41632.0,41632.0,780,18,3884.86,Star,73544.0,Manitoba,Single,College,Female,2013,0
109903,26,30144.0,30144.0,1115,18,5107.16,Star,57975.0,Saskatchewan,Married,Bachelor,Female,2013,0
109956,16,27586.0,27586.0,0,18,5137.85,Star,89320.0,Ontario,Married,Bachelor,Female,2017,1
110065,37,35474.0,53211.0,0,5,13432.0,Aurora,82365.0,British Columbia,Single,Bachelor,Male,2018,0
110099,31,53281.0,53281.0,1028,18,4731.84,Star,73544.0,Yukon,Single,College,Female,2013,0
110142,33,45288.840000003576,67933.26000000536,334,5,4866.65,Star,73544.0,British Columbia,Single,College,Male,2018,0
110211,26,38248.0,38248.0,0,18,12036.62,Nova,64417.0,Ontario,Single,Bachelor,Female,2017,1
110262,22,38622.0,57933.0,808,5,9427.68,Aurora,52267.0,Alberta,Married,Bachelor,Male,2018,0
110296,24,40752.0,40752.0,0,18,2396.22,Star,73544.0,Quebec,Married,College,Male,2013,0
110394,28,43897.0,43897.0,0,18,2565.12,Star,81901.0,Manitoba,Single,Bachelor,Male,2013,0
110422,2,2124.0,2124.0,0,18,2414.77,Star,73544.0,Nova Scotia,Single,College,Male,2018,0
110476,36,52447.0,52447.0,1851,18,6098.46,Star,86244.0,Ontario,Married,Bachelor,Male,2014,0
110678,29,40277.0,40277.0,0,18,3933.81,Star,50879.0,Ontario,Single,Bachelor,Female,2016,0
110691,20,35836.0,35836.0,503,18,4722.24,Star,73544.0,British Columbia,Single,College,Male,2015,0
110752,23,34430.0,34430.0,409,18,5154.05,Star,72625.0,Quebec,Divorced,Bachelor,Male,2012,0
111022,16,23222.0,23222.0,1095,18,14635.45,Nova,73544.0,Manitoba,Divorced,College,Female,2013,0
111034,34,59662.0,59662.0,905,18,11790.5,Nova,118863.0,Ontario,Divorced,Master,Female,2014,0
111171,35,42286.0,42286.0,837,18,4628.28,Star,73544.0,British Columbia,Single,College,Female,2015,0
111176,33,53706.0,53706.0,1237,18,4568.82,Nova,73544.0,British Columbia,Single,College,Female,2014,0
111255,38,46586.0,46586.0,0,18,4122.96,Star,70272.0,Quebec,Married,High School or Below,Male,2013,0
111286,24,39620.0,39620.0,0,18,10382.38,Nova,55923.0,British Columbia,Married,Bachelor,Female,2013,0
111329,23,34636.0,34636.0,1460,18,3585.94,Nova,50748.0,Quebec,Married,Bachelor,Female,2016,0
111485,30,48028.0,48028.0,1818,18,2989.96,Star,90349.0,Ontario,Divorced,Bachelor,Female,2015,0
111507,21,27741.0,27741.0,1689,18,17556.99,Star,58405.0,Quebec,Married,Bachelor,Female,2012,0
111573,27,45046.0,45046.0,0,18,14349.86,Aurora,85487.0,Ontario,Married,Bachelor,Male,2014,0
111584,21,27680.0,27680.0,619,18,4163.79,Nova,68273.0,Ontario,Divorced,Doctor,Female,2017,0
111646,24,45971.0,45971.0,1100,18,5015.01,Aurora,67445.0,Ontario,Single,Bachelor,Female,2014,1
111788,56,86332.0,86332.0,862,18,4935.19,Nova,53537.0,British Columbia,Married,Bachelor,Female,2016,0
111899,16,24779.0,24779.0,998,18,13021.09,Nova,73544.0,Manitoba,Single,College,Female,2013,1
111912,29,55871.0,55871.0,628,18,5592.46,Aurora,77443.0,Ontario,Divorced,Bachelor,Male,2016,0
112026,40,68485.0,68485.0,989,18,9670.18,Aurora,185468.0,British Columbia,Divorced,Doctor,Male,2014,0
112142,29,43150.0,43150.0,433,18,16272.74,Aurora,93073.0,Ontario,Single,Bachelor,Male,2015,1
112226,23,40013.0,40013.0,484,18,4686.47,Nova,74413.0,British Columbia,Married,Bachelor,Male,2014,0
112393,31,57406.0,57406.0,2163,18,6763.18,Star,73544.0,Ontario,Single,College,Female,2014,0
112522,13,19992.0,29988.0,0,5,5636.74,Aurora,49846.0,Alberta,Married,Bachelor,Male,2018,0
112678,23,39055.0,39055.0,1621,18,35537.85,Star,73544.0,Ontario,Married,College,Male,2014,0
112709,26,44365.0,44365.0,0,18,4834.4,Nova,68387.0,New Brunswick,Married,Doctor,Female,2016,0
112732,26,46626.0,46626.0,1154,18,8360.15,Nova,67412.0,New Brunswick,Married,Bachelor,Female,2016,0
112733,35,38378.0,38378.0,0,18,3353.38,Nova,78298.0,British Columbia,Married,Bachelor,Female,2013,0
112842,17,31592.0,31592.0,673,18,6217.26,Nova,73544.0,Ontario,Married,College,Male,2016,0
112856,33,56895.0,56895.0,1737,18,26199.53,Nova,46795.0,British Columbia,Married,Bachelor,Male,2014,0
112863,27,37560.0,37560.0,1646,18,16107.19,Aurora,78218.0,British Columbia,Married,Bachelor,Female,2016,0
113040,26,48776.0,48776.0,0,18,8427.17,Nova,65935.0,British Columbia,Divorced,Bachelor,Female,2013,0
113220,25,39380.0,39380.0,515,18,7986.19,Star,86215.0,British Columbia,Married,Bachelor,Male,2012,0
113293,1,2351.0,2351.0,0,18,18370.57,Star,68245.0,Quebec,Divorced,Bachelor,Female,2017,0
113316,11,20558.0,20558.0,562,18,5282.54,Aurora,60156.0,British Columbia,Single,Bachelor,Male,2017,0
113363,7,11975.0,11975.0,0,18,2760.95,Nova,57311.0,New Brunswick,Married,Bachelor,Female,2017,0
113476,36,57561.0,57561.0,574,18,9420.97,Aurora,66334.0,Newfoundland,Married,Bachelor,Female,2013,0
113558,24,32137.0,32137.0,319,18,6444.08,Aurora,66116.0,Quebec,Married,Bachelor,Female,2015,0
113679,43,52708.0,52708.0,341,18,10634.84,Aurora,73544.0,Ontario,Single,College,Male,2014,0
113694,32,56101.0,56101.0,1740,18,4890.11,Nova,73544.0,Saskatchewan,Divorced,College,Female,2014,0
113755,14,14268.0,14268.0,460,18,3633.05,Star,63616.0,British Columbia,Married,Bachelor,Female,2013,0
113779,28,36296.0,36296.0,521,18,25640.24,Aurora,233002.0,Quebec,Married,Doctor,Male,2014,0
113804,16,24371.0,24371.0,1304,18,3173.03,Star,73544.0,Quebec,Married,College,Female,2016,0
113831,45,51606.0,51606.0,470,18,3605.86,Nova,47701.0,Ontario,Married,Bachelor,Male,2016,0
113839,23,35514.0,35514.0,0,18,3839.61,Star,73544.0,Ontario,Divorced,College,Male,2015,0
113861,9,9625.0,9625.0,0,18,2409.37,Star,73544.0,Quebec,Married,College,Female,2017,0
113864,10,8122.0,8122.0,521,18,8652.65,Star,79913.0,Saskatchewan,Married,Bachelor,Male,2017,0
113874,11,9893.0,14839.5,0,5,2894.24,Nova,73544.0,Ontario,Single,College,Female,2018,0
113877,32,50428.0,50428.0,0,18,9575.76,Star,73544.0,Ontario,Single,College,Female,2013,0
113904,28,29603.0,29603.0,958,18,26453.94,Nova,63343.0,Ontario,Married,Bachelor,Female,2015,0
113919,25,42531.0,42531.0,596,18,5614.59,Aurora,61482.0,Manitoba,Married,Bachelor,Female,2015,0
114018,24,31775.0,31775.0,0,18,9120.07,Nova,78649.0,Ontario,Married,Bachelor,Male,2013,0
114021,33,50810.0,50810.0,671,18,5326.68,Star,88044.0,British Columbia,Married,Bachelor,Female,2014,0
114131,16,22800.0,34200.0,440,5,5389.5,Nova,80516.0,British Columbia,Married,Bachelor,Male,2018,0
114214,16,20894.0,20894.0,0,18,2554.55,Star,73544.0,Quebec,Married,College,Female,2017,1
114219,21,32457.0,32457.0,914,18,5479.56,Nova,72888.0,Ontario,Married,Bachelor,Female,2012,0
114242,29,42410.0,42410.0,953,18,5914.95,Star,68653.0,British Columbia,Married,Bachelor,Male,2016,0
114307,30,42595.0,42595.0,733,18,9863.5,Nova,104829.0,Ontario,Married,Bachelor,Male,2013,0
114414,30,51838.0,51838.0,0,18,3591.07,Nova,73544.0,Ontario,Married,College,Male,2012,0
114493,25,39685.0,39685.0,677,18,6063.2,Aurora,47036.0,Ontario,Single,Bachelor,Female,2016,0
114553,30,48321.0,48321.0,455,18,3703.93,Nova,47987.0,British Columbia,Divorced,Bachelor,Male,2012,0
114638,33,45959.0,45959.0,495,18,2152.08,Star,73544.0,Quebec,Single,College,Male,2012,0
114700,2,2556.0,2556.0,0,18,7155.34,Star,134476.0,British Columbia,Married,Doctor,Female,2017,0
114743,10,13920.0,13920.0,0,18,4966.77,Star,59753.0,New Brunswick,Married,Bachelor,Male,2017,0
114835,19,27506.0,27506.0,0,18,4001.52,Star,101354.0,Ontario,Divorced,Master,Female,2017,0
114857,29,41257.0,41257.0,533,18,13355.49,Nova,57148.0,British Columbia,Married,Bachelor,Female,2017,0
114903,22,32026.0,32026.0,457,18,9767.94,Nova,58414.0,British Columbia,Married,Bachelor,Male,2013,0
114924,13,22222.0,22222.0,0,18,5037.95,Star,73544.0,Ontario,Married,College,Female,2017,1
114927,25,29548.0,29548.0,1174,18,3013.44,Star,190674.0,British Columbia,Divorced,Doctor,Male,2017,0
114983,23,39359.0,39359.0,0,18,5601.68,Star,71198.0,British Columbia,Married,Doctor,Female,2013,0
115322,41,66981.0,66981.0,503,18,8257.67,Aurora,221857.0,Ontario,Married,Doctor,Female,2013,0
115354,37,49430.0,49430.0,1546,18,6297.0,Star,73544.0,New Brunswick,Single,College,Female,2012,0
115405,29,52810.0,52810.0,1636,18,4637.16,Star,50797.0,Ontario,Single,Bachelor,Female,2015,0
115427,44,58670.0,58670.0,1028,18,8685.92,Nova,95967.0,Quebec,Married,Bachelor,Female,2016,0
115505,20,32871.840000003576,49307.760000005364,0,5,5860.17,Nova,-10605.0,Newfoundland,Married,Bachelor,Male,2018,0
115529,27,36683.0,36683.0,401,18,8382.63,Star,101038.0,British Columbia,Married,Master,Male,2014,0
115633,31,50127.0,50127.0,368,18,9685.54,Nova,80218.0,Ontario,Married,Bachelor,Male,2012,0
115705,29,45206.0,45206.0,983,18,17435.68,Aurora,71498.0,Quebec,Married,Bachelor,Male,2013,0
115805,36,54287.0,54287.0,1646,18,6781.13,Star,54096.0,Ontario,Divorced,Bachelor,Male,2014,0
115852,26,39251.0,39251.0,0,18,40688.53,Nova,59314.0,Ontario,Married,Bachelor,Female,2017,0
116016,24,45647.0,45647.0,0,18,9118.93,Aurora,56700.0,British Columbia,Married,Bachelor,Female,2013,0
116045,34,52181.0,52181.0,373,18,11308.47,Aurora,73544.0,Quebec,Single,College,Female,2014,0
116164,5,7277.0,7277.0,1516,18,8170.62,Aurora,101599.0,British Columbia,Married,Bachelor,Female,2017,0
